,128 Ranks,256 Ranks,512 Ranks,2048 Ranks,8196 Ranks
214,420945802,420945200,420886073,420686295,419805133
215,420953110,420929623,420878027,420675187,419780637
216,420940955,420931110,420899201,420659187,419793999
217,420959543,420942909,420907786,420680240,419810869
218,420944245,420925845,420889714,420650576,419786373
219,420950957,420925501,420895129,420682765,419793163
220,420951259,420930152,420897774,420673816,419801302
221,420947671,420928530,420892803,420692715,419800950
222,420965018,420945985,420897421,420690718,419816244
223,420949735,420926902,420878084,420665476,419793286
224,420955372,420940018,420901554,420682664,419807447
225,420940359,420926437,420886285,420666075,419792040
226,420955306,420928405,420905093,420673959,419781499
227,420946768,420955024,420887663,420689250,419800448
228,420947657,420930854,420915664,420682996,419800749
229,420947106,420949647,420898862,420682929,419796504
230,420942647,420905736,420883892,420672343,419768703
231,420941537,420926066,420898462,420693951,419803387
232,420936912,420926806,420888650,420664826,419795374
233,420959166,420945978,420919552,420681975,419797837
234,420961169,420913728,420888207,420673776,419776994
235,420942908,420927340,420887636,420681290,419780927
236,420959260,420939557,420901179,420674122,419806384
237,420928940,420940688,420901994,420670422,419803978
238,420956900,420942824,420898798,420688233,419800778
239,420952875,420934248,420894464,420681960,419799995
240,420951665,420933336,420893400,420673412,419801718
241,420968769,420927150,420893643,420677284,419807015
242,420961851,420936178,420916307,420676620,419795884
243,420958894,420944110,420883057,420671928,419792256
244,420944988,420930789,420904276,420692202,419788552
245,420947386,420944483,420901109,420682253,419812832
246,420951717,420931633,420891882,420691927,419801212
247,420944138,420909020,420892760,420667956,419796283
248,420945794,420918216,420903974,420673305,419780535
249,420946261,420934715,420886861,420682428,419807385
250,420951364,420945374,420904619,420697384,419799570
251,420961286,420946655,420907165,420666998,419817770
252,420939398,420929630,420886322,420672699,419787931
253,420946977,420928597,420893855,420677246,419791061
254,420932573,420924692,420889959,420679195,419778106
255,420937136,420934196,420885735,420659847,419775762
256,420954669,420936072,420893741,420682621,419801590
